ContractName,ProjectNVersion,IsFacadeOnProjectN,WindowsStoreVersion,IsFacadeOnWindowsStore,DesktopVersion,IsFacadeOnDesktop,ProjectKVersion,IsFacadeOnProjectK,TestNetVersion,IsFacadeOnTestNet,PhoneVersion,IsFacadeOnPhone
Microsoft.CSharp,4.0.1.0,N,4.0.0.0,N,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,4.0.0.0,N
Microsoft.VisualBasic,10.0.1.0,N,10.0.0.0,N,10.0.1.0,N,10.0.1.0,N,10.0.1.0,N,10.0.0.0,N
Microsoft.Win32.Primitives,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.AppContext,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,-,-
System.Collections.Concurrent,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,N,4.0.11.0,N
System.Collections,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Collections.NonGeneric,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Collections.Specialized,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.ComponentModel,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.ComponentModel.Annotations,4.1.0.0,N,4.0.10.0,Y,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,-,-
System.ComponentModel.EventBasedAsync,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.ComponentModel.Primitives,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.ComponentModel.TypeConverter,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Data.Common,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Diagnostics.Contracts,4.0.1.0,Y,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Diagnostics.Debug,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Diagnostics.StackTrace,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Diagnostics.Tools,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Diagnostics.Tracing,4.0.21.0,N,4.0.20.0,Y,4.0.21.0,Y,4.0.21.0,N,4.0.21.0,Y,4.0.10.0,Y
System.Dynamic.Runtime,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Globalization,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.10.0,Y
System.Globalization.Calendars,4.0.1.0,Y,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,-,-
System.Globalization.Extensions,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.Compression,4.1.0.0,N,4.0.0.0,N,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,4.0.0.0,N
System.IO.Compression.ZipFile,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.IO,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.IO.FileSystem.Primitives,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.FileSystem,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.UnmanagedMemoryStream,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Linq,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Linq.Expressions,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Linq.Queryable,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Linq.Parallel,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N
System.Net.Http,4.0.1.0,N,4.0.0.0,N,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,4.0.0.0,Y
System.Net.Http.Rtc,4.0.1.0,N,4.0.0.0,Y,-,-,-,-,-,-,-,-
System.Net.NetworkInformation,4.1.0.0,N,4.0.10.0,Y,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,4.0.0.0,Y
System.Net.Primitives,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.0.0,Y
System.Net.Requests,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,N,4.0.0.0,Y
System.Net.Sockets,4.1.0.0,N,-,-,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,-,-
System.Net.WebHeaderCollection,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Net.WebSockets,4.0.0.0,N,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Net.WebSockets.Client,4.0.0.0,N,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Numerics.Vectors,4.1.1.0,N,4.0.0.0,N,4.1.1.0,N,4.1.1.0,N,4.1.1.0,N,-,-
System.ObjectModel,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Reflection,4.1.0.0,Y,4.0.10.0,Y,4.1.0.0,Y,4.1.0.0,Y,4.1.0.0,Y,4.0.10.0,Y
System.Reflection.Context,4.0.1.0,N,4.0.0.0,N,4.0.1.0,N,-,-,-,-,-,-
System.Reflection.DispatchProxy,4.0.1.0,Y,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Reflection.Extensions,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Reflection.Primitives,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Reflection.TypeExtensions,4.1.0.0,N,-,-,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,-,-
System.Resources.ResourceManager,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Runtime,4.0.21.0,N,4.0.20.0,Y,4.0.21.0,Y,4.0.21.0,N,4.0.21.0,Y,4.0.20.0,Y
System.Runtime.Extensions,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Runtime.InteropServices,4.0.21.0,Y,4.0.20.0,Y,4.0.21.0,Y,4.0.21.0,N,4.0.21.0,Y,4.0.20.0,Y
System.Runtime.InteropServices.RuntimeInformation,4.0.0.0,N,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Runtime.InteropServices.WindowsRuntime,4.0.1.0,Y,4.0.0.0,Y,4.0.1.0,Y,-,-,4.0.1.0,Y,4.0.0.0,Y
System.Runtime.Handles,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Runtime.Numerics,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N
System.Runtime.Serialization.Json,4.0.1.0,Y,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Runtime.Serialization.Primitives,4.1.0.0,N,4.0.10.0,Y,4.1.0.0,N,4.1.0.0,N,4.0.10.0,Y,4.0.10.0,Y
System.Runtime.Serialization.Xml,4.1.0.0,Y,4.0.10.0,Y,4.1.0.0,N,4.1.0.0,Y,4.0.10.0,Y,4.0.10.0,Y
System.Runtime.WindowsRuntime,4.0.11.0,N,4.0.10.0,N,4.0.11.0,N,-,-,4.0.11.0,N,4.0.10.0,N
System.Runtime.WindowsRuntime.UI.Xaml,4.0.1.0,N,4.0.0.0,N,4.0.1.0,N,-,-,4.0.1.0,N,4.0.0.0,N
System.Security.Claims,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Security.Cryptography.Algorithms,4.0.0.0,N,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Cryptography.Cng,4.0.0.0,N,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Cryptography.Encoding,4.0.0.0,N,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Cryptography.Primitives,4.0.0.0,N,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Cryptography.X509Certificates,4.0.0.0,N,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Principal,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.ServiceModel.Duplex,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,-,-
System.ServiceModel.Http,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.11.0,Y,-,-
System.ServiceModel.NetTcp,4.1.0.0,N,4.0.0.0,Y,4.1.0.0,Y,4.1.0.0,Y,4.1.0.0,Y,-,-
System.ServiceModel.Primitives,4.1.0.0,N,4.0.0.0,Y,4.1.0.0,Y,4.1.0.0,Y,4.1.0.0,Y,-,-
System.ServiceModel.Security,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,-,-
System.Text.Encoding,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.10.0,Y
System.Text.Encoding.CodePages,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Text.Encoding.Extensions,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.10.0,Y
System.Text.RegularExpressions,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Threading,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Threading.Tasks,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Threading.Tasks.Parallel,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N
System.Threading.Timer,4.0.1.0,Y,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Threading.Overlapped,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Xml.ReaderWriter,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Xml.XDocument,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Xml.XmlDocument,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Xml.XmlSerializer,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Xml.XPath,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Xml.XPath.XDocument,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Xml.XPath.XmlDocument,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.IsolatedStorage,4.0.1.0,N,-,-,-,-,-,-,-,-,-,-
System.Private.ILToolchain,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CompilerServices.ICastable,4.0.0.0,Y,-,-,-,-,4.0.0.0,Y,-,-,-,-
System.Private.CoreLib.Augments,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.CompilerServices,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.DeveloperExperience,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.DynamicDelegate,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.InteropServices,4.0.0.0,N,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.Reflection,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.Threading,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.CoreLib.WinRTInterop,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.DispatchProxy,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.Interop.Extensions,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.MCG,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.Reflection.Extensibility,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.Reflection.Metadata,4.0.0.0,N,-,-,-,-,-,-,-,-,-,-
System.Private.Reflection.MissingMetadataException,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.Reflection.Augments,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.Threading.AsyncCausalitySupport,4.0.0.0,Y,-,-,-,-,-,-,-,-,-,-
System.Private.TypeLoader,4.0.0.0,N,-,-,-,-,-,-,-,-,-,-
System.Console,4.0.0.0,N,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
Microsoft.Win32.Registry,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
Microsoft.Win32.Registry.AccessControl,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Runtime.Loader,-,-,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Data.SqlClient,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Diagnostics.FileVersionInfo,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Diagnostics.Process,-,-,-,-,4.0.0.0,Y,4.1.0.0,N,4.1.0.0,N,-,-
System.Diagnostics.TraceSource,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Diagnostics.TextWriterTraceListener,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.IO.FileSystem.AccessControl,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.IO.FileSystem.DriveInfo,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.IO.FileSystem.Watcher,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.IO.MemoryMappedFiles,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.IO.Pipes,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Net.Http.WinHttpHandler,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Net.NameResolution,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Net.Security,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Net.Utilities,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Reflection.Emit,-,-,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Reflection.Emit.ILGeneration,-,-,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Reflection.Emit.Lightweight,-,-,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Resources.ReaderWriter,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Runtime.CompilerServices.VisualC,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
System.Security.AccessControl,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Cryptography.Csp,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.Principal.Windows,-,-,-,-,4.0.0.0,Y,4.0.0.0,N,4.0.0.0,N,-,-
System.Security.SecureString,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.ServiceProcess.ServiceController,-,-,-,-,4.1.0.0,Y,4.1.0.0,N,4.1.0.0,N,-,-
System.Threading.AccessControl,-,-,-,-,4.0.0.0,N,4.0.0.0,N,4.0.0.0,N,-,-
System.Threading.ThreadPool,-,-,-,-,4.0.10.0,Y,4.0.10.0,Y,4.0.10.0,Y,-,-
System.Threading.Thread,-,-,-,-,4.0.0.0,Y,4.0.0.0,Y,4.0.0.0,Y,-,-
Internal.Threading.Overlapped,-,-,-,-,-,-,-,-,4.0.0.0,Y,-,-
Internal.Threading.ThreadPool,-,-,-,-,-,-,-,-,4.0.0.0,Y,-,-
